allocated CHIP memory @0x2200, size 22 (D:\prg\_git\ace\ace\managers\timer.c:22)
allocated FAST memory @0x2200b0, size 16 (D:\prg\_git\ace\ace\managers\copper.c:105)
allocated FAST memory @0x21cb90, size 8 (D:\prg\_git\ace\ace\managers\copper.c:108)
allocated FAST memory @0x21cd38, size 8 (D:\prg\_git\ace\ace\managers\copper.c:109)
allocated CHIP memory @0x560, size 4 (D:\prg\_git\ace\ace\managers\copper.c:245)
allocated FAST memory @0x2685e8, size 20 (D:\prg\_git\ace\ace\managers\game.c:23)
allocated FAST memory @0x268610, size 12 (D:\prg\_git\ace\ace\utils\extview.c:6)
allocated FAST memory @0x268830, size 16 (D:\prg\_git\ace\ace\managers\copper.c:105)
allocated FAST memory @0x21ce18, size 8 (D:\prg\_git\ace\ace\managers\copper.c:108)
allocated FAST memory @0x21dfd8, size 8 (D:\prg\_git\ace\ace\managers\copper.c:109)
allocated FAST memory @0x27b478, size 28 (D:\prg\_git\ace\ace\utils\extview.c:97)
allocated FAST memory @0x27b4a8, size 64 (D:\prg\_git\ace\ace\utils\extview.c:110)
allocated FAST memory @0x27b530, size 34 (D:\prg\_git\ace\ace\managers\viewport\simplebuffer.c:12)
allocated FAST memory @0x27b6b8, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x1ec00, size 51200 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x2b400, size 51200 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x37c00, size 51200 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x44400, size 51200 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x50c00, size 51200 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x27b708, size 30 (D:\prg\_git\ace\ace\managers\viewport\camera.c:7)
allocated FAST memory @0x27b740, size 20 (D:\prg\_git\ace\ace\managers\copper.c:142)
allocated FAST memory @0x27b820, size 60 (D:\prg\_git\ace\ace\managers\copper.c:145)
allocated FAST memory @0x27b8a0, size 28 (D:\prg\_git\ace\ace\utils\extview.c:97)
allocated FAST memory @0x27b9b0, size 64 (D:\prg\_git\ace\ace\utils\extview.c:110)
allocated FAST memory @0x27b928, size 34 (D:\prg\_git\ace\ace\managers\viewport\simplebuffer.c:12)
allocated FAST memory @0x27ba88, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x5d400, size 2560 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x5de00, size 2560 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x5e800, size 2560 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x5f200, size 2560 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated CHIP memory @0x5fc00, size 2560 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
allocated FAST memory @0x27bd88, size 30 (D:\prg\_git\ace\ace\managers\viewport\camera.c:7)
allocated FAST memory @0x27bb88, size 20 (D:\prg\_git\ace\ace\managers\copper.c:142)
allocated FAST memory @0x281a40, size 60 (D:\prg\_git\ace\ace\managers\copper.c:145)
allocated FAST memory @0x281a90, size 40 (D:\prg\_git\ace\ace\utils\bitmap.c:15)
allocated CHIP memory @0x60600, size 10240 (D:\prg\_git\ace\ace\utils\bitmap.c:40)
